FlightPlanID,DronePortID,ETD,ETD_Seconds,OriginLat,OriginLon,OriginNodeID,DestinationLat,DestinationLon,DestinationNodeID,DroneModel,EstimatedFlightTime,Ceiling
FP000001,DP1,01:00:34,3634,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.78903695328138,-73.94644458811004,L0_X12_Y6,Heavy Quadcopter,8.672946754779202,400.0
FP000002,DP1,01:00:47,3647,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.77405040979117,-73.9690467816812,L0_X6_Y4,Heavy Quadcopter,4.33659489450291,400.0
FP000003,DP1,01:01:02,3662,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.77950431799445,-73.98133953022825,L0_X6_Y1,Heavy Quadcopter,4.1710687505137205,400.0
FP000004,DP2,01:01:51,3711,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.778972516321105,-73.97074314602013,L0_X7_Y3,Heavy Quadcopter,5.2214497054075055,400.0
FP000005,DP2,01:02:22,3742,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.77329618442839,-73.98614110886417,L0_X4_Y1,Heavy Quadcopter,7.665373017575751,400.0
FP000006,DP2,01:03:10,3790,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.76730970436203,-73.96325330943415,L0_X5_Y6,Heavy Quadcopter,6.171428571427307,400.0
FP000007,DP2,01:04:11,3851,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.79577730984451,-73.95223556801028,L0_X13_Y4,Heavy Quadcopter,1.5323870101577708,400.0
FP000008,DP2,01:04:42,3882,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.76966039050614,-73.97794545612722,L0_X4_Y3,Heavy Quadcopter,7.158404813362044,400.0
FP000009,DP2,01:05:10,3910,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.78154397791421,-73.95774638539304,L0_X9_Y5,Heavy Quadcopter,3.4962256196244894,400.0
FP000010,DP1,01:05:47,3947,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.75671144334132,-73.97695059757008,L0_X1_Y5,Heavy Quadcopter,2.168267078335009,400.0
FP000011,DP2,01:05:55,3955,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.778972516321105,-73.97074314602013,L0_X7_Y3,Heavy Quadcopter,5.2214497054075055,400.0
FP000012,DP1,01:06:02,3962,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.783362237108015,-73.96184332265736,L0_X9_Y4,Heavy Quadcopter,6.321723253405997,400.0
FP000013,DP2,01:06:16,3976,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.78775161395421,-73.95294308880786,L0_X11_Y5,Heavy Quadcopter,2.1681253167435988,400.0
FP000014,DP1,01:06:34,3994,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.782076458739475,-73.96834192725004,L0_X8_Y3,Heavy Quadcopter,5.528309983142204,400.0
FP000015,DP1,01:07:20,4040,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.77768649354284,-73.97724172324111,L0_X6_Y2,Heavy Quadcopter,4.11428571428537,400.0
FP000016,DP1,01:07:20,4040,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.78881614509582,-73.97413547921235,L0_X9_Y1,Heavy Quadcopter,6.209438777285663,400.0
FP000017,DP2,01:07:28,4048,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.771478359944865,-73.98204317042439,L0_X4_Y2,Heavy Quadcopter,7.3844649909105495,400.0
FP000018,DP1,01:08:17,4097,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.77329618442839,-73.98614110886417,L0_X4_Y1,Heavy Quadcopter,2.8273034962846886,400.0
FP000019,DP1,01:08:32,4112,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.776621681093886,-73.95605091806061,L0_X8_Y6,Heavy Quadcopter,6.132527625726183,400.0
FP000020,DP2,01:08:40,4120,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.7919199878898,-73.97173367988933,L0_X10_Y1,Heavy Quadcopter,4.388862930100404,400.0
FP000021,DP2,01:08:58,4138,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.78389442810161,-73.97243937856285,L0_X8_Y2,Heavy Quadcopter,4.943548043922904,400.0
FP000022,DP2,01:09:15,4155,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.76602401683185,-73.9697506999255,L0_X4_Y5,Heavy Quadcopter,6.891139376358177,400.0
FP000023,DP1,01:09:16,4156,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.77019204302611,-73.98854156169558,L0_X3_Y1,Heavy Quadcopter,2.168449347446177,400.0
FP000024,DP1,01:09:16,4156,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.78389442810161,-73.97243937856285,L0_X8_Y2,Heavy Quadcopter,5.485714285715785,400.0
FP000025,DP1,01:09:20,4160,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.75852970266277,-73.98104806062648,L0_X1_Y4,Heavy Quadcopter,1.53318918906723,400.0
FP000026,DP1,01:09:41,4181,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.78881614509582,-73.97413547921235,L0_X9_Y1,Heavy Quadcopter,6.209438777285663,400.0
FP000027,DP1,01:10:44,4244,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.794491730543776,-73.95873480737892,L0_X12_Y3,Heavy Quadcopter,8.256997683932571,400.0
FP000028,DP2,01:12:19,4339,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.76602401683185,-73.9697506999255,L0_X4_Y5,Heavy Quadcopter,6.891139376358177,400.0
FP000029,DP1,01:12:21,4341,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.793205956564435,-73.96523417800812,L0_X11_Y2,Heavy Quadcopter,7.542857142857964,400.0
FP000030,DP1,01:13:36,4416,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.79373766726678,-73.9758314478714,L0_X10_Y0,Heavy Quadcopter,6.992941029544271,400.0
FP000031,DP1,01:14:39,4479,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.80069906758288,-73.95392989998119,L0_X14_Y3,Heavy Quadcopter,9.624362808310853,400.0
FP000032,DP1,01:15:35,4535,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.802517036734244,-73.95802695620101,L0_X14_Y2,Heavy Quadcopter,9.60000000000167,400.0
FP000033,DP1,01:16:07,4567,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.75542541208789,-73.98344764387868,L0_X0_Y4,Heavy Quadcopter,1.3714285714263812,400.0
FP000034,DP1,01:16:33,4593,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.776621681093886,-73.95605091806061,L0_X8_Y6,Heavy Quadcopter,6.132527625726183,400.0
FP000035,DP1,01:16:51,4611,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.77768649354284,-73.97724172324111,L0_X6_Y2,Heavy Quadcopter,4.11428571428537,400.0
